Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
1413.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1501421618485583,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1585.0,0.0,0.0,0.0,0.0,0.0,0.0,3.20002926655377,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1779.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2501759480839247,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
1996.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3001605369513523,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2239.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35005409357903,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2512.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400019635065158,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2819.0,0.0,0.0,0.0,0.0,0.0,0.0,3.450095075871602,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
3163.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5000991919157225,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
3549.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5501059993475925,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
3982.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6001012556913903,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
4467.0,0.0,0.0,0.0,0.0,0.0,0.0,3.650015952471838,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
5012.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7000110623221123,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
5624.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750045312011767,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
6310.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800029359244134,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
7080.0,0.0,0.0,0.0,0.0,0.0,0.0,3.850033257689769,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
7944.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000392354873243,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
8913.0,0.0,0.0,0.0,0.0,0.0,0.0,3.950023906523326,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
11221.0,0.0,0.0,0.0,0.0,0.0,0.0,4.050031562368401,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
12590.0,0.0,0.0,0.0,0.0,0.0,0.0,4.100025730107863,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
14126.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150019201915148,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
15849.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200001865406602,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
17783.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250005028486895,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
19953.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300008202553813,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
22388.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350015298234692,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
25119.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400002345927955,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
28184.0,0.0,0.0,0.0,0.0,0.0,0.0,4.450002630173185,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
31623.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500003068051693,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
